Factor Date_Bucket,Vintage_Bucket,State Code_Bucket,Orig Bal,Number Of Loans,PoolCount,Active LoanCount,CPR,Curtailment(CPR),Loan Age,,Vintage,DTI,Current Balance,FICO,LTV
20170501,2011,GA,1673132539.79,"9,830",,"9,720",14.21,0.98,70,,2011,29.86,"1,434,911,408.93",756.37,78.15
20170501,2012,GA,3099945276.19,"16,299",,"16,148",11.07,0.91,57,,2012,29.23,"2,722,130,114.56",757.12,79.55
20170501,2013,GA,4082138404.09,"21,301",,"21,095",11.44,0.78,47,,2013,30.55,"3,666,097,983.58",751.55,79.63
20170501,2014,GA,3133283656.47,"16,713",,"16,527",14.32,0.78,34,,2014,32.63,"2,903,014,185.60",746.15,81.72
20170501,2015,GA,5338730678.41,"26,202",,"25,982",10.02,0.77,22,,2015,33.05,"5,071,679,787.51",748.88,80.14
20170501,2016,GA,6879499507.56,"31,856",,"31,708",5.22,0.6,10,,2016,33.64,"6,720,611,648.65",746.58,80.07
20170501,2017,GA,1784868639.36,"8,248",,"8,232",3.31,0.95,3,,2017,34.49,"1,771,629,313.21",745.59,79.91
20170501,2010,ID,386287665.60,"2,477",,"2,453",11.75,1.13,82,,2010,30.21,"324,840,029.08",749.19,76.45
20170501,2011,ID,296344087.13,"1,923",,"1,887",22.18,0.95,70,,2011,31.01,"250,043,333.48",758.17,76.91
20170501,2012,ID,640973087.12,"3,727",,"3,699",8.8,1.04,58,,2012,29.97,"560,471,915.82",760.53,78.37
20170501,2013,ID,822223158.55,"4,797",,"4,751",11.89,0.57,47,,2013,31.31,"738,656,650.13",753.63,79.46
20170501,2014,ID,629546476.66,"3,611",,"3,558",17.18,0.91,34,,2014,33.08,"577,797,555.35",751.75,79.79
20170501,2015,ID,1088539779.68,"5,732",,"5,669",13.13,0.92,22,,2015,33.59,"1,028,468,358.06",752.19,79.09
20170501,2016,ID,1637842842.82,"8,042",,"8,007",5.69,0.93,10,,2016,33.97,"1,596,188,885.89",748.84,78.96
20170501,2017,ID,392480862.66,"1,878",,"1,875",3.4,2.13,3,,2017,34.92,"389,099,403.13",749.06,78.43
20170501,2010,IL,3522171715.36,"19,890",,"19,624",16.79,0.8,82,,2010,31.67,"2,981,479,859.94",748.45,78.49
20170501,2011,IL,2732940743.54,"15,667",,"15,504",13.89,0.96,70,,2011,31.21,"2,362,630,117.78",751.53,77.89
20170501,2012,IL,6594570643.08,"33,130",,"32,852",10.46,0.82,57,,2012,31.47,"5,792,054,660.25",759.66,76.3
20170501,2013,IL,7133557568.27,"36,249",,"35,958",10.12,0.83,47,,2013,32.48,"6,414,794,779.14",754.04,77.33
20170501,2014,IL,3848708808.87,"21,366",,"21,149",12.6,0.72,34,,2014,33.95,"3,574,973,957.29",745.82,80.58
20170501,2015,IL,7360095244.92,"36,685",,"36,442",8.36,0.62,23,,2015,34.23,"7,004,479,829.57",749.74,79.68
20170501,2016,IL,11699792345.23,"53,258",,"53,017",6.36,0.73,10,,2016,34.15,"11,431,238,837.40",751.7,79.53
20170501,2017,IL,2467430880.99,"11,614",,"11,604",1.92,0.79,3,,2017,35.18,"2,453,490,821.71",747.31,79.86
20170501,2010,IN,1043385329.38,"8,210",,"8,123",13.58,0.84,81,,2010,29.53,"879,745,340.34",749.82,76.67
20170501,2011,IN,966001321.52,"7,546",,"7,463",13.31,0.97,70,,2011,29.76,"834,502,302.42",751.6,77.77
20170501,2012,IN,2265552575.30,"15,089",,"14,959",10.82,0.86,58,,2012,29.27,"1,988,164,771.68",756.7,78.05
20170501,2013,IN,2465933674.25,"16,956",,"16,803",10.54,0.81,47,,2013,30.34,"2,219,033,389.87",749.34,79.8
20170501,2014,IN,1832565082.72,"12,853",,"12,703",13.61,0.7,34,,2014,31.9,"1,697,786,805.47",744.66,83.77
20170501,2015,IN,2751934547.43,"17,670",,"17,546",8.55,0.72,22,,2015,31.94,"2,610,168,442.76",747.93,82.47
20170501,2016,IN,3578993726.38,"21,764",,"21,680",5.2,0.88,10,,2016,32.43,"3,493,714,235.18",746.71,82.82
20170501,2017,IN,896186641.68,"5,502",,"5,491",3.91,1.78,3,,2017,33.45,"888,948,629.36",745.95,81.78
20170501,2010,MN,2111957454.70,"11,967",,"11,846",12.5,1.09,81,,2010,28.85,"1,776,297,023.20",758,77.74
20170501,2011,MN,1724214260.96,"9,731",,"9,639",12.41,1.14,70,,2011,30.42,"1,481,473,629.47",761,78.64
20170501,2012,MN,3874052526.78,"19,868",,"19,731",8.38,0.93,58,,2012,30.5,"3,404,680,526.27",763.75,79.62
20170501,2013,MN,4014552919.84,"20,677",,"20,496",9.73,0.78,47,,2013,31.75,"3,618,948,663.33",755.92,80.45
20170501,2014,MN,2925635260.54,"15,189",,"15,044",11.39,0.6,34,,2014,33.09,"2,722,053,986.57",752.86,82.88
20170501,2015,MN,4648325926.84,"22,218",,"22,079",7.29,0.64,22,,2015,33.31,"4,429,918,504.85",753.85,82.25
20170501,2016,MN,6063845816.84,"28,068",,"27,971",4.23,0.58,10,,2016,33.44,"5,931,976,552.18",752.39,81.72
